127.0.0.1 - - [21/Dec/2023:22:37:13 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:37:14 +0530] "GET /spc/ HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:37:15 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:40:26 +0530] "GET /spc/File.html HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:42:36 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:42:37 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:42:41 +0530] "GET /spc/File.html HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:43:37 +0530] "GET /spc/File.html HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:44:53 +0530] "GET /spc/ HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:45:49 +0530] "GET /spc/ HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:28 +0530] "GET /spc/ HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:30 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:31 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:43 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:45 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:46:57 +0530] "GET /spc/ HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:47:57 +0530] "GET /spc/ HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:48:11 +0530] "GET /spc/ HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:49:41 +0530] "GET /spc/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:50:18 +0530] "GET /spc/ HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:50:19 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:50:43 +0530] "GET /spc/ HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:50:44 +0530] "GET /spc/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:55:15 +0530] "GET /spc/File.html HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:55:33 +0530] "GET /spc/File.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:56:29 +0530] "GET /spc/File.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:57:14 +0530] "GET /spc/File.html HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:57:56 +0530] "GET /spc/index.html HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:58:50 +0530] "GET /spc/File.html HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [21/Dec/2023:22:59:53 +0530] "GET /spc/File.html HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [21/Dec/2023:23:00:03 +0530] "GET /spc/File.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [21/Dec/2023:23:01:13 +0530] "GET /spc/File.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [21/Dec/2023:23:02:08 +0530] "GET /spc/File.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [21/Dec/2023:23:03:02 +0530] "GET /spc/File.html HTTP/1.1" 200 1396
0:0:0:0:0:0:0:1 - - [21/Dec/2023:23:04:32 +0530] "GET /spc/File.html HTTP/1.1" 304 -
